2015;8;5;1;0.001
2015;8;5;2;0.001
2015;8;5;3;0.001
2015;8;5;4;0.001
2015;8;5;5;0.001
2015;8;5;6;0.001
2015;8;5;7;0.015
2015;8;5;8;0.148
2015;8;5;9;0.555
2015;8;5;10;1.397
2015;8;5;11;1.976
2015;8;5;12;2.45
2015;8;5;13;3.222
2015;8;5;14;2.661
2015;8;5;15;2.761
2015;8;5;16;2.997
2015;8;5;17;2.615
2015;8;5;18;1.948
2015;8;5;19;1.621
2015;8;5;20;1.083
2015;8;5;21;0.275
2015;8;5;22;0.001
2015;8;5;23;0.001
2015;8;5;24;0.001
2015;8;6;1;0.001
2015;8;6;2;0.001
2015;8;6;3;0.001
2015;8;6;4;0.001
2015;8;6;5;0.001
2015;8;6;6;0.001
2015;8;6;7;0.015
2015;8;6;8;0.125
2015;8;6;9;0.544
2015;8;6;10;1.477
2015;8;6;11;2.204
2015;8;6;12;2.785
2015;8;6;13;3.599
2015;8;6;14;3.476
2015;8;6;15;3.532
2015;8;6;16;3.681
2015;8;6;17;3.156
2015;8;6;18;2.489
2015;8;6;19;1.88
2015;8;6;20;1.137
2015;8;6;21;0.272
2015;8;6;22;0.001
2015;8;6;23;0.001
2015;8;6;24;0.001
2015;8;7;1;0.001
2015;8;7;2;0.001
2015;8;7;3;0.001
2015;8;7;4;0.001
2015;8;7;5;0.001
2015;8;7;6;0.001
2015;8;7;7;0.015
2015;8;7;8;0.123
2015;8;7;9;0.546
2015;8;7;10;1.495
2015;8;7;11;2.244
2015;8;7;12;2.837
2015;8;7;13;3.656
2015;8;7;14;3.559
2015;8;7;15;3.616
2015;8;7;16;3.776
2015;8;7;17;3.251
2015;8;7;18;2.58
2015;8;7;19;1.937
2015;8;7;20;1.162
2015;8;7;21;0.276
2015;8;7;22;0.001
2015;8;7;23;0.001
2015;8;7;24;0.001
*
